# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)               |    __check_object_size() {
 0)   2.007 us    |      check_stack_object();
 0)   7.408 us    |    }
 0) + 26.918 us   |  }
 ------------------------------------------
 0)   migrati-11   =>   swapper-1   
 ------------------------------------------

 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.552 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.416 us    |        kmalloc_slab();
 0)   1.237 us    |        should_failslab();
 0)   7.625 us    |      }
 0)   1.148 us    |      static_key_count();
 0)               |      static_key_slow_inc() {
 0)               |        cpus_read_lock() {
 0)   1.432 us    |          __percpu_down_read();
 0)   4.186 us    |        }
 0)               |        static_key_slow_inc_cpuslocked() {
 0)   1.216 us    |          lockdep_assert_cpus_held();
 0)   1.574 us    |          mutex_lock();
 0)               |          jump_label_update() {
 0)   1.488 us    |            __module_address();
 0)               |            __jump_label_update() {
 0)   1.703 us    |              kernel_text_address();
 0) ! 104.260 us  |              arch_jump_label_transform();
 0)   1.665 us    |              kernel_text_address();
 0) + 80.899 us   |              arch_jump_label_transform();
 0) ! 197.732 us  |            }
 0) ! 203.462 us  |          }
 0)   1.528 us    |          mutex_unlock();
 0) ! 214.269 us  |        }
 0)               |        cpus_read_unlock() {
 0)               |          __percpu_up_read() {
 0)   1.194 us    |            rcuwait_wake_up();
 0)   3.487 us    |          }
 0)   5.879 us    |        }
 0) ! 229.998 us  |      }
 0)   1.201 us    |      mutex_unlock();
 0) ! 252.990 us  |    }
 0) ! 258.890 us  |  }
 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.222 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.170 us    |        kmalloc_slab();
 0)   1.170 us    |        should_failslab();
 0)   5.978 us    |      }
 0)   1.198 us    |      static_key_count();
 0)               |      static_key_slow_inc() {
 0)               |        cpus_read_lock() {
 0)   1.163 us    |          __percpu_down_read();
 0)   3.530 us    |        }
 0)               |        static_key_slow_inc_cpuslocked() {
 0)   1.153 us    |          lockdep_assert_cpus_held();
 0)   1.158 us    |          mutex_lock();
 0)               |          jump_label_update() {
 0)   1.313 us    |            __module_address();
 0)               |            __jump_label_update() {
 0)   1.195 us    |              kernel_text_address();
 0) + 78.947 us   |              arch_jump_label_transform();
 0) + 84.290 us   |            }
 0) + 89.392 us   |          }
 0)   1.445 us    |          mutex_unlock();
 0) + 98.878 us   |        }
 0)               |        cpus_read_unlock() {
 0)               |          __percpu_up_read() {
 0)   1.295 us    |            rcuwait_wake_up();
 0)   3.554 us    |          }
 0)   5.878 us    |        }
 0) ! 112.890 us  |      }
 0)   1.230 us    |      mutex_unlock();
 0) ! 129.643 us  |    }
 0) ! 132.128 us  |  }
 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.219 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.212 us    |        kmalloc_slab();
 0)   1.175 us    |        should_failslab();
 0)   5.837 us    |      }
 0)   1.166 us    |      static_key_count();
 0)   1.191 us    |      mutex_unlock();
 0) + 16.482 us   |    }
 0) + 19.047 us   |  }
 0)               |  release_early_probes() {
 0)               |    call_rcu() {
 0)               |      __call_rcu() {
 0)   1.632 us    |        rcu_segcblist_enqueue();
 0)   6.732 us    |      }
 0) + 10.282 us   |    }
 0) + 22.555 us   |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.475 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.347 us    |          _raw_spin_lock_irqsave();
 0)   2.312 us    |          rpm_resume();
 0)   1.205 us    |          _raw_spin_unlock_irqrestore();
 0) + 13.705 us   |        }
