# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)               |    __check_object_size() {
 0)   1.859 us    |      check_stack_object();
 0)   6.847 us    |    }
 0) + 25.073 us   |  }
 ------------------------------------------
 0)   migrati-11   =>   swapper-1   
 ------------------------------------------

 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.493 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.452 us    |        kmalloc_slab();
 0)   1.229 us    |        should_failslab();
 0)   7.566 us    |      }
 0)   1.145 us    |      static_key_count();
 0)               |      static_key_slow_inc() {
 0)               |        cpus_read_lock() {
 0)   1.655 us    |          __percpu_down_read();
 0)   4.296 us    |        }
 0)               |        static_key_slow_inc_cpuslocked() {
 0)   1.228 us    |          lockdep_assert_cpus_held();
 0)   1.351 us    |          mutex_lock();
 0)               |          jump_label_update() {
 0)   1.565 us    |            __module_address();
 0)               |            __jump_label_update() {
 0)   1.733 us    |              kernel_text_address();
 0) ! 106.378 us  |              arch_jump_label_transform();
 0)   1.351 us    |              kernel_text_address();
 0) + 82.021 us   |              arch_jump_label_transform();
 0) ! 201.092 us  |            }
 0) ! 207.087 us  |          }
 0)   1.303 us    |          mutex_unlock();
 0) ! 218.039 us  |        }
 0)               |        cpus_read_unlock() {
 0)               |          __percpu_up_read() {
 0)   1.173 us    |            rcuwait_wake_up();
 0)   3.505 us    |          }
 0)   5.847 us    |        }
 0) ! 233.570 us  |      }
 0)   1.208 us    |      mutex_unlock();
 0) ! 255.602 us  |    }
 0) ! 261.612 us  |  }
 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.208 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.170 us    |        kmalloc_slab();
 0)   1.170 us    |        should_failslab();
 0)   5.949 us    |      }
 0)   1.196 us    |      static_key_count();
 0)               |      static_key_slow_inc() {
 0)               |        cpus_read_lock() {
 0)   1.165 us    |          __percpu_down_read();
 0)   3.568 us    |        }
 0)               |        static_key_slow_inc_cpuslocked() {
 0)   1.167 us    |          lockdep_assert_cpus_held();
 0)   1.178 us    |          mutex_lock();
 0)               |          jump_label_update() {
 0)   1.315 us    |            __module_address();
 0)               |            __jump_label_update() {
 0)   1.195 us    |              kernel_text_address();
 0) + 79.849 us   |              arch_jump_label_transform();
 0) + 85.243 us   |            }
 0) + 90.117 us   |          }
 0)   1.329 us    |          mutex_unlock();
 0) + 99.563 us   |        }
 0)               |        cpus_read_unlock() {
 0)               |          __percpu_up_read() {
 0)   1.278 us    |            rcuwait_wake_up();
 0)   3.555 us    |          }
 0)   5.913 us    |        }
 0) ! 113.609 us  |      }
 0)   1.228 us    |      mutex_unlock();
 0) ! 130.220 us  |    }
 0) ! 132.738 us  |  }
 0)               |  tracepoint_probe_register() {
 0)               |    tracepoint_probe_register_prio() {
 0)   1.218 us    |      mutex_lock();
 0)               |      __kmalloc() {
 0)   1.177 us    |        kmalloc_slab();
 0)   1.203 us    |        should_failslab();
 0)   5.815 us    |      }
 0)   1.162 us    |      static_key_count();
 0)   1.192 us    |      mutex_unlock();
 0) + 16.051 us   |    }
 0) + 18.555 us   |  }
 0)               |  release_early_probes() {
 0)               |    call_rcu() {
 0)               |      __call_rcu() {
 0)   1.667 us    |        rcu_segcblist_enqueue();
 0)   6.628 us    |      }
 0)   9.736 us    |    }
 0) + 22.684 us   |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.601 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.390 us    |          _raw_spin_lock_irqsave();
 0)   2.462 us    |          rpm_resume();
 0)   1.207 us    |          _raw_spin_unlock_irqrestore();
 0) + 14.083 us   |        }
 0)               |        bus_for_each_drv() {
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.206 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.715 us    |              of_match_device();
 0)   9.482 us    |            }
 0) + 12.530 us   |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.377 us    |              of_match_device();
 0)   9.938 us    |            }
 0) + 12.556 us   |          }
 0)   1.221 us    |          _raw_spin_lock_irqsave();
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.161 us    |              of_match_device();
 0)   3.996 us    |            }
 0)   6.515 us    |          }
 0)   1.216 us    |          _raw_spin_lock_irqsave();
 0)   1.225 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.376 us    |              of_match_device();
 0)   8.118 us    |            }
 0) + 10.573 us   |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.042 us    |              of_match_device();
 0)   7.537 us    |            }
 0)   10.000 us   |          }
 0)   1.203 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.380 us    |              of_match_device();
 0)   8.558 us    |            }
 0) + 11.044 us   |          }
 0)   1.220 us    |          _raw_spin_lock_irqsave();
 0)   1.249 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.406 us    |              of_match_device();
 0)   7.960 us    |            }
 0) + 10.613 us   |          }
 0)   1.208 us    |          _raw_spin_lock_irqsave();
 0)   1.183 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   9.312 us    |              of_match_device();
 0) + 11.933 us   |            }
 0) + 14.557 us   |          }
 0)   1.213 us    |          _raw_spin_lock_irqsave();
 0)   1.186 us    |          _raw_spin_unlock_irqrestore();
 0) ! 146.015 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.813 us    |            rpm_check_suspend_allowed();
 0)   4.850 us    |          }
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0) + 12.181 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.206 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.313 us    |            rpm_check_suspend_allowed();
 0)   3.570 us    |          }
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.492 us   |        }
 0)   1.192 us    |        mutex_unlock();
 0) ! 197.287 us  |      }
 0) ! 200.548 us  |    }
 0)   1.179 us    |    mutex_lock();
 0)   1.167 us    |    mutex_unlock();
 0) ! 215.731 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.463 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.492 us    |          _raw_spin_lock_irqsave();
 0)   1.972 us    |          rpm_resume();
 0)   1.221 us    |          _raw_spin_unlock_irqrestore();
 0)   9.332 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.209 us    |          _raw_spin_lock_irqsave();
 0)   1.202 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.857 us    |              of_match_device();
 0) + 10.368 us   |            }
 0) + 12.764 us   |          }
 0)   1.193 us    |          _raw_spin_lock_irqsave();
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.996 us    |              of_match_device();
 0) + 10.458 us   |            }
 0) + 12.791 us   |          }
 0)   1.304 us    |          _raw_spin_lock_irqsave();
 0)   1.189 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.157 us    |              of_match_device();
 0)   3.500 us    |            }
 0)   5.870 us    |          }
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.292 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.280 us    |              of_match_device();
 0)   7.920 us    |            }
 0) + 10.281 us   |          }
 0)   1.205 us    |          _raw_spin_lock_irqsave();
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.263 us    |              of_match_device();
 0)   7.683 us    |            }
 0) + 10.022 us   |          }
 0)   1.199 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.364 us    |              of_match_device();
 0)   7.732 us    |            }
 0) + 10.045 us   |          }
 0)   1.176 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.250 us    |              of_match_device();
 0)   7.654 us    |            }
 0) + 10.160 us   |          }
 0)   1.213 us    |          _raw_spin_lock_irqsave();
 0)   1.225 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0) + 10.225 us   |              of_match_device();
 0) + 12.781 us   |            }
 0) + 15.265 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.166 us    |          _raw_spin_unlock_irqrestore();
 0) ! 142.387 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.179 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.306 us    |            rpm_check_suspend_allowed();
 0)   4.033 us    |          }
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.125 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.301 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.202 us    |            rpm_check_suspend_allowed();
 0)   3.488 us    |          }
 0)   1.220 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.527 us   |        }
 0)   1.195 us    |        mutex_unlock();
 0) ! 185.443 us  |      }
 0) ! 188.228 us  |    }
 0)   1.184 us    |    mutex_lock();
 0)   1.189 us    |    mutex_unlock();
 0) ! 198.370 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.395 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.225 us    |          _raw_spin_lock_irqsave();
 0)   1.890 us    |          rpm_resume();
 0)   1.169 us    |          _raw_spin_unlock_irqrestore();
 0)   9.015 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.285 us    |          _raw_spin_lock_irqsave();
 0)   1.197 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.730 us    |              of_match_device();
 0)   7.375 us    |            }
 0)   9.796 us    |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.390 us    |              of_match_device();
 0)   8.820 us    |            }
 0) + 11.138 us   |          }
 0)   1.199 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.156 us    |              of_match_device();
 0)   3.590 us    |            }
 0)   5.917 us    |          }
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.525 us    |              of_match_device();
 0)   6.955 us    |            }
 0)   9.313 us    |          }
 0)   1.302 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
